"PAIS","ANIO_DESEMBOLSO","SECTOR_INSTITUCIONAL","DESCRIPCION_PROYECTO","MONTO_BRUTO_USD"
Argentina,"2017",Sector Público,Programa de Fortalecimiento de las Capacidades de Investigación y Desarrollo (PROFOCAID),"2625000.00"
Argentina,"2021",Sector Público,Programa de Apoyo a la Estrategia de Ampliación de Cobertura y Acceso a la Salud,"4306520.37"
Argentina,"2021",Sector Público,Programa de Fortalecimiento de las Acciones de Protección contra las Violencias por Motivos de Género,"9557000.00"
Argentina,"2021",Sector Público,Programa de Fortalecimiento de las Capacidades de Investigación y Desarrollo (PROFOCAID),"8500000.00"
Argentina,"2021",Sector Público,Programa de Fortalecimiento Infraestructura Salud para Unidades Penitenciarias y Unidades Sanitarias Frontera,"37602422.58"
Argentina,"2021",Sector Público,Proyecto de Gestión por Resultados en Salud para la Atención de Población Adulta Mayor en la Argentina (PROGERSA),"17283217.14"
Argentina,"2022",Sector Público,Programa de Apoyo al Plan Nacional  Argentina contra el Hambre,"49940000.00"
Argentina,"2022",Sector Público,Programa de Fortalecimiento de las Capacidades de Investigación y Desarrollo (PROFOCAID),"9500000.00"
Argentina,"2022",Sector Público,Programa Piloto para la Transformación Digital de las PYMES Argentinas,"1000000.00"
Argentina,"2023",Sector Público,Programa de Apoyo al Plan Nacional Argentina contra el Hambre II - Alimentar,"396000000.00"
Argentina,"2023",Sector Público,Programa de Apoyo al Plan Nacional  Argentina contra el Hambre,"1937.62"
Argentina,"2023",Sector Público,Programa de Fortalecimiento de las Acciones de Protección contra las Violencias por Motivos de Género,"11759864.00"
Argentina,"2023",Sector Público,Programa de Fortalecimiento de las Capacidades de Investigación y Desarrollo (PROFOCAID),"8500000.00"
Argentina,"2023",Sector Público,Programa de Fortalecimiento Infraestructura Salud para Unidades Penitenciarias y Unidades Sanitarias Frontera,"6660200.40"
Argentina,"2023",Sector Público,Programa de Fortalecimiento Tecnológico del Registro Nacional de las Personas y de la Dirección Nacional de Migraciones,"5000000.00"
Argentina,"2023",Sector Público,Programa de Mejora del Acceso y la Calidad Educativa,"6517500.00"
Argentina,"2023",Sector Público,Programa de Recuperación y Desarrollo Rural Post-Emergencia,"8853506.00"
Argentina,"2023",Sector Público,Programa Piloto para la Transformación Digital de las PYMES Argentinas,"5000000.00"
Argentina,"2023",Sector Público,Proyecto de Gestión por Resultados en Salud para la Atención de Población Adulta Mayor en la Argentina (PROGERSA),"5260775.96"
Argentina,"2024",Sector Público,Programa de Apoyo a la Seguridad Alimentaria en Argentina. Fase III,"143677731.00"
Argentina,"2024",Sector Público,Programa de Apoyo al Plan Nacional Argentina contra el Hambre II - Alimentar,"36000.00"
Argentina,"2024",Sector Público,Programa de Fortalecimiento Tecnológico del Registro Nacional de las Personas y de la Dirección Nacional de Migraciones,"4521477.49"
Argentina,"2024",Sector Público,Programa de Mejora del Acceso y la Calidad Educativa,"23225000.00"
Argentina,"2025",Sector Público,Programa de Apoyo a la Seguridad Alimentaria en Argentina. Fase III,"86097269.00"
Argentina,"2025",Sector Público,Programa de Apoyo a la Seguridad Alimentaria en Argentina. Fase IV,"99900000.00"
Argentina,"2025",Sector Público,Programa de Apoyo al Plan Nacional Argentina contra el Hambre II - Alimentar,"13000.00"
Argentina,"2025",Sector Público,Programa de Fortalecimiento de las Acciones de Protección contra las Violencias por Motivos de Género,"4198427.00"
Argentina,"2025",Sector Público,Programa de Fortalecimiento Tecnológico del Registro Nacional de las Personas y de la Dirección Nacional de Migraciones,"2860206.79"
Argentina,"2025",Sector Público,Programa de Mejora del Acceso y la Calidad Educativa,"28950312.00"
Belice,"2010",Sector Público,Financiamiento del Programa de Financiamiento Rural,"500000.00"
Belice,"2013",Sector Público,Financiamiento del Programa de Financiamiento Rural,"500000.00"
Belice,"2013",Sector Público,Mejoramiento y Rehabilitación Carretera Sur de Belice: Tramo Dump-Jalacté,"2638489.58"
Belice,"2013",Sector Público,Puesto Fronterizo El Corozal Belice-México,"552528.16"
Belice,"2014",Sector Público,Mejoramiento Y Rehabilitación Carretera Sur De Belice: Tramo Dump-Jalacté,"670175.67"
Belice,"2014",Sector Público,Programa De Financiamiento Rural,"750000.00"
Belice,"2014",Sector Público,Puesto Fronterizo El Corozal Belice-México,"2484872.23"
Belice,"2015",Sector Público,Mejoramiento Y Rehabilitación Carretera Sur De Belice: Tramo Dump-Jalacté,"1191334.75"
Belice,"2015",Sector Público,Programa De Financiamiento Rural,"155800.00"
Belice,"2015",Sector Público,Puesto Fronterizo El Corozal Belice-México,"3088386.75"
Belice,"2018",Sector Público,Programa Integral de Seguridad de Belice (Fase I),"3473733.82"
Belice,"2023",Sector Público,Programa Integral de Seguridad de Belice (Fase I),"2320801.37"
Belice,"2024",Sector Público,Programa Integral de Seguridad de Belice (Fase I),"4179618.56"
Belice,"2025",Sector Público,Ampliación y Rehabilitación de la Autopista Philip Goldson,"2313520.00"
Belice,"2025",Sector Público,Programa Integral de Seguridad de Belice (Fase I),"3500000.00"
Colombia,"2016",Sector Público,Línea Global de Crédito - Financiera de Desarrollo Territorial,"50000000.00"
Colombia,"2016",Sector Público,Proyecto Concesión Alto Magdalena Corredor Vial Honda - Puerto - Salgar - Girardot.,"136000000.00"
Colombia,"2023",Sector Público,OPD en apoyo a la acción climática y la transición energética,"250000000.00"
Colombia,"2024",Sector Público,OPD para el apoyo a la acción climática  transición energética justa y fortalecimiento fiscal verde,"250000000.00"
Costa Rica,"1965",Sector Público,LC - Banco Central de Costa Rica,"1994591.79"
Costa Rica,"1966",Sector Público,Construcción del Tramo San Ramón - Naranjo de la Carretera el Coco - San Ramón,"4650226.80"
Costa Rica,"1969",Sector Público,Complementar el capital de fundación de la Editorial Centroamericana creada y encargada de editar libros con fines docentes y culturales,"1933.57"
Costa Rica,"1975",Sector Público,Construcción de las Obras de Terracería y Drenaje Menor del Tramo de Carretera Entre Terrón Coloradolos Chiles frontera con Nicaragua,"2832769.52"
Costa Rica,"1976",Sector Público,Financiar Complementariamente la Capitalización de la Editorial Universitaria Centroamericana (Educa) Necesaria para Realizar su Programa de Edición de Libros,"100000.00"
Costa Rica,"1976",Sector Público,Financiar la compra de hipotecas y/o títulos hipotecarios sobre viviendas de bajo costo.,"15000000.00"
Costa Rica,"1978",Sector Público,Línea Global de Crédito - Instituto Centroamericano de Administración Pública,"200000.00"
Costa Rica,"1980",Sector Público,LC - Instituto Centroamericano de Administración Pública,"148750.00"
Costa Rica,"1981",Sector Público,Programa de Vivienda Media Regular y Media Baja del Banco Vigentes a la Fecha de cada Desembolso.,"597800.00"
Costa Rica,"1983",Sector Público,Compra de Hipotecas Y/o Titulos Hipotecarios Constitutidos Sobre Viviendas Elegibles Conforme a las Politicas del Programa de Vivienda del Banco Vigentes a la Fecha de cada Desembolso.,"2000000.00"
Costa Rica,"1983",Sector Público,Construcción y Pavimento de la Carretera Orotina coyolar tárcoles y Coyolar puerto Caldera Como Parte del Complejo Vial del Pacífico Sur,"2838148.38"
Costa Rica,"1986",Sector Público,Componentes de Crédito Extensión y Comercialización del Proyecto Desarrollo Agrícola para Pequeños Productores de la Zona Norte de la República de Costa Rica.,"2365397.85"
Costa Rica,"1988",Sector Público,Ejecución del Proyecto Componentes de Desarrollo de Plantaciones y Capacitación para la Utilización del Bambú Gradua en la Construcción de Viviendas de Bajo Costo de Interés Social de Costa Rica.,"600000.00"
Costa Rica,"1988",Sector Público,Fondos Destinados Exclusivamente a Rehabilitación de la Carretera Barranca - Arizona,"2606659.72"
Costa Rica,"1988",Sector Público,Proyecto Vial de la Costanera Sur Tramo Barú Palmar Norte,"3846190.75"
Costa Rica,"1988",Sector Público,Rehabilitación Parcial de la Carretera CA-1 (Interamericana) Tramo Paso Real - Palmar Norte - Piedras Blancas,"3211384.10"
Costa Rica,"1989",Sector Público,Rehabilitación de la Carretera Panamericana CA-1 Sur  Tramo  Taras - La Georgina de Costa Rica,"792130.01"
Costa Rica,"1991",Sector Público,Línea Global de Crédito - Banco Central de Costa Rica,"6000000.00"
Costa Rica,"1992",Sector Público,Proyecto de Reconstrucción de la Infraestructura Física de la Región Huetar Atlántica,"1612445.66"
Costa Rica,"1992",Sector Público,Proyecto Mejoramiento y Ampliación del Sistema Telefónico de la República de Costa Rica,"16050318.79"
Costa Rica,"1992",Sector Público,Proyecto Rehabilitación de Acueductos y Alcantarillados de la Provincia de Limón,"2348975.78"
Costa Rica,"1993",Sector Público,Programa de desarrollo de la enseñanza técnica productiva para la región Huetar Norte De Costa Rica,"767122.77"
Costa Rica,"1993",Sector Público,Proyecto Mejoramiento y Ampliación de la Red Primaria Telefónica de la República de Costa Rica,"2565533.54"
Costa Rica,"1993",Sector Público,Proyecto Mejoramiento y Ampliación de la Red Secundaria Telefónica de la República de Costa Rica,"5155028.69"
Costa Rica,"1996",Sector Público,Componentes de Crédito Extensión y Comercialización del Proyecto Desarrollo Agrícola para Pequeños Productores de la Zona Norte de la República de Costa Rica.,"237403.06"
Costa Rica,"1996",Sector Público,Fondos Destinados Exclusivamente a Rehabilitación de la Carretera Barranca - Arizona,"101276983.93"
Costa Rica,"1996",Sector Público,Línea Global de Crédito - Banco Nacional de Costa Rica (BNCR),"11699998.86"
Costa Rica,"1996",Sector Público,Programa de desarrollo de la enseñanza técnica productiva para la región Huetar Norte De Costa Rica,"232877.23"
Costa Rica,"1996",Sector Público,Proyecto Adquisición de Centrales Telefónicas Digitales (55 000 Líneas) para el Área Metropolitana de la República de Costa Rica,"2522619.53"
Costa Rica,"1996",Sector Público,Proyecto de Reconstrucción de la Infraestructura Física de la Región Huetar Atlántica,"311720240.88"
Costa Rica,"1996",Sector Público,Proyecto Planta Térmica Moín,"15505656.24"
Costa Rica,"1996",Sector Público,Proyecto Rehabilitación de Acueductos y Alcantarillados de la Provincia de Limón,"2361881.78"
Costa Rica,"1996",Sector Público,Proyecto Teléfonos Públicos para la República de Costa Rica,"2018179.60"
Costa Rica,"1996",Sector Público,Rehabilitación de la Carretera CA-1  San Ramón - Barranca,"1279384.38"
Costa Rica,"1996",Sector Público,Rehabilitación de la Carretera Panamericana CA-1 Sur  Tramo  Taras - La Georgina de Costa Rica,"140321798.68"
Costa Rica,"1997",Sector Público,Componentes de Crédito Extensión y Comercialización del Proyecto Desarrollo Agrícola para Pequeños Productores de la Zona Norte de la República de Costa Rica.,"397199.09"
Costa Rica,"1997",Sector Público,Ejecución del Proyecto Componentes de Desarrollo de Plantaciones y Capacitación para la Utilización del Bambú Gradua en la Construcción de Viviendas de Bajo Costo de Interés Social de Costa Rica.,"320148.38"
Costa Rica,"1997",Sector Público,Fondos Destinados Exclusivamente a Rehabilitación de la Carretera Barranca - Arizona,"194955.01"
Costa Rica,"1997",Sector Público,Línea Global de Crédito - Banco de Costa Rica,"406371.91"
Costa Rica,"1997",Sector Público,Línea Global de Crédito - Banco Hipotecario de la Vivienda,"5000000.00"
Costa Rica,"1997",Sector Público,Línea Global de Crédito - Banco Nacional de Costa Rica (BNCR),"2268768.48"
Costa Rica,"1997",Sector Público,Participación en el Fideicomiso de Inversión (Proyecto Angustura),"17032000.00"
Costa Rica,"1997",Sector Público,Pavimentación y Construcción del Proyecto de Carretera Barúpalmar Norte Fase C en la República de Costa Rica,"5000000.00"
Costa Rica,"1997",Sector Público,Proyecto Adquisición de Centrales Telefónicas Digitales (55 000 Líneas) para el Área Metropolitana de la República de Costa Rica,"3963269.18"
Costa Rica,"1997",Sector Público,Proyecto de Apoyo a la Ampliación y Consolidación de los Servicios de Informática Educativa,"8000000.00"
Costa Rica,"1997",Sector Público,Proyecto de Implementación Conjunta Subproyecto Central Hidroeléctrica Brasil,"23261893.65"
Costa Rica,"1997",Sector Público,Proyecto de Reconstrucción de la Infraestructura Física de la Región Huetar Atlántica,"3924191.93"
Costa Rica,"1997",Sector Público,Proyecto Enlaces Digitales para Telefonía Rural,"2595188.62"
Costa Rica,"1997",Sector Público,Proyecto Mejoramiento y Ampliación de la Red Primaria Telefónica de la República de Costa Rica,"1599052.19"
Costa Rica,"1997",Sector Público,Proyecto Mejoramiento y Ampliación de la Red Secundaria Telefónica de la República de Costa Rica,"109434.13"
Costa Rica,"1997",Sector Público,Proyecto Rehabilitación de Acueductos y Alcantarillados de la Provincia de Limón,"589142.44"
Costa Rica,"1997",Sector Público,Proyecto Sistema de Transmisión por Fibra Óptica Radio y Multiplex Digital,"7064437.10"
Costa Rica,"1997",Sector Público,Proyecto Teléfonos Públicos para la República de Costa Rica,"2299301.05"
Costa Rica,"1997",Sector Público,Red de Acceso para Voz y Datos,"720290.59"
Costa Rica,"1997",Sector Público,Rehabilitación de la Carretera CA-1  San Ramón - Barranca,"1193731.74"
Costa Rica,"1998",Sector Público,Ejecución del Proyecto Componentes de Desarrollo de Plantaciones y Capacitación para la Utilización del Bambú Gradua en la Construcción de Viviendas de Bajo Costo de Interés Social de Costa Rica.,"407602.18"
Costa Rica,"1998",Sector Público,Línea Global de Crédito - Banco de Costa Rica,"7263364.16"
Costa Rica,"1998",Sector Público,Línea Global de Crédito - Banco Nacional de Costa Rica (BNCR),"984972.56"
Costa Rica,"1998",Sector Público,Participación en el Fideicomiso de Inversión (Proyecto Angustura),"9282600.00"
Costa Rica,"1998",Sector Público,Proyecto Adquisición de Centrales Telefónicas Digitales (55 000 Líneas) para el Área Metropolitana de la República de Costa Rica,"2270768.81"
Costa Rica,"1998",Sector Público,Proyecto de Apoyo a la Ampliación y Consolidación de los Servicios de Informática Educativa,"4894750.00"
Costa Rica,"1998",Sector Público,Proyecto de Implementación Conjunta Subproyecto Central Hidroeléctrica Brasil,"25291376.61"
Costa Rica,"1998",Sector Público,Proyecto Enlaces Digitales para Telefonía Rural,"1346935.78"
Costa Rica,"1998",Sector Público,Proyecto Mejoramiento y Ampliación de la Red Primaria Telefónica de la República de Costa Rica,"118660.50"
Costa Rica,"1998",Sector Público,Proyecto Mejoramiento y Ampliación de la Red Secundaria Telefónica de la República de Costa Rica,"1000192.93"
Costa Rica,"1998",Sector Público,Proyecto Sistema de Transmisión por Fibra Óptica Radio y Multiplex Digital,"2127848.00"
Costa Rica,"1998",Sector Público,Proyecto Sistema de Transmisión por Fibra Óptica y Multiplex Digital,"1252754.30"
Costa Rica,"1998",Sector Público,Proyecto Teléfonos Públicos para la República de Costa Rica,"1509077.25"
Costa Rica,"1998",Sector Público,Red de Acceso para Voz y Datos,"1357942.36"
Costa Rica,"1998",Sector Público,Rehabilitación de la Carretera CA-1  San Ramón - Barranca,"426883.88"
Costa Rica,"1999",Sector Público,Línea Global de Crédito - Banco de Costa Rica,"2169888.17"
Costa Rica,"1999",Sector Público,Línea Global de Crédito - Banco Nacional De Costa Rica (BNCR),"2286719.90"
Costa Rica,"1999",Sector Público,Participación en el Fideicomiso de Inversión (Proyecto Angustura),"29325442.97"
Costa Rica,"1999",Sector Público,Pavimentación y Construcción del Proyecto de Carretera Barúpalmar Norte Fase C en la República de Costa Rica,"4471135.03"
Costa Rica,"1999",Sector Público,Proyecto Adquisición de Centrales Telefónicas Digitales (55 000 Líneas) para el Área Metropolitana de la República de Costa Rica,"323963.12"
Costa Rica,"1999",Sector Público,Proyecto Desarrollo Agrícola de la Península de Nicoya,"300000.00"
Costa Rica,"1999",Sector Público,Proyecto Sistema de Transmisión por Fibra Óptica y Multiplex Digital,"1073789.40"
Costa Rica,"2000",Sector Público,Línea Global de Crédito - Banco Nacional de Costa Rica (BNCR),"233655.72"
Costa Rica,"2000",Sector Público,Participación en el Fideicomiso de Inversión (Proyecto Angustura),"17660957.03"
Costa Rica,"2000",Sector Público,Pavimentación y Construcción del Proyecto de Carretera Barúpalmar Norte Fase C en la República de Costa Rica,"6284093.77"
Costa Rica,"2000",Sector Público,Proyecto  Ampliación de la Red Celular,"11290839.96"
Costa Rica,"2000",Sector Público,Proyecto Construcción y Remodelación del Hospital Regional de Liberia Dr Enrique Baltodano Briceño,"3900267.57"
Costa Rica,"2000",Sector Público,Proyecto Desarrollo Agrícola de la Península de Nicoya,"417659.98"
Costa Rica,"2000",Sector Público,Proyecto Sistema de Transmisión por Fibra Óptica y Multiplex Digital,"1108215.35"
Costa Rica,"2000",Sector Público,Proyecto Tanques y Redes en el Acueducto Metropolitano de San José y la Adquisición e Instalación de Hidrómetros,"5299190.56"
Costa Rica,"2001",Sector Público,Línea Global de Crédito - Banco Nacional de Costa Rica (BNCR),"1258841.87"
Costa Rica,"2001",Sector Público,Pavimentación y Construcción del Proyecto de Carretera Barúpalmar Norte Fase C en la República de Costa Rica,"1864085.45"
Costa Rica,"2001",Sector Público,Proyecto Construcción de la Planta Térmica Moín Iii,"10541054.00"
Costa Rica,"2001",Sector Público,Proyecto Construcción y Remodelación del Hospital Regional de Liberia Dr Enrique Baltodano Briceño,"1178093.45"
Costa Rica,"2001",Sector Público,Proyecto Desarrollo Agrícola de la Península de Nicoya,"158930.63"
Costa Rica,"2001",Sector Público,Proyecto Planta Hidroeléctrica Cote,"1699447.51"
Costa Rica,"2001",Sector Público,Proyecto Programa de Infraestructura de la Universidad Nacional,"1616910.18"
Costa Rica,"2001",Sector Público,Proyecto Tanques y Redes en el Acueducto Metropolitano de San José y la Adquisición e Instalación de Hidrómetros,"4458408.02"
Costa Rica,"2002",Sector Público,Línea Global de Crédito - Banco Crédito Agrícola de Cartago,"4000000.00"
Costa Rica,"2002",Sector Público,Línea Global de Crédito - Banco Nacional de Costa Rica (BNCR),"3320783.43"
Costa Rica,"2002",Sector Público,Proyecto Centrales Telefónicas ALCatel  Ampliación y Modernización del Sistema Nacional de Telecomunicaciones 20002001,"18301355.10"
Costa Rica,"2002",Sector Público,Proyecto Centrales Telefónicas Siemens  Ampliación y Modernización del Sistema Nacional de Telecomunicaciones 20002001,"13379258.08"
Costa Rica,"2002",Sector Público,Proyecto Construcción de la Planta Térmica Moín Iii,"20714109.65"
Costa Rica,"2002",Sector Público,Proyecto Construcción y Remodelación del Hospital Regional de Liberia Dr Enrique Baltodano Briceño,"2188269.36"
Costa Rica,"2002",Sector Público,Proyecto Desarrollo Agrícola de la Península de Nicoya,"187641.27"
Costa Rica,"2002",Sector Público,Proyecto Planta Hidroeléctrica Cote,"3937749.23"
Costa Rica,"2002",Sector Público,Proyecto Programa de Infraestructura de la Universidad Nacional,"1784811.37"
Costa Rica,"2002",Sector Público,Proyecto Tanques y Redes en el Acueducto Metropolitano de San José y la Adquisición e Instalación de Hidrómetros,"1632572.13"
Costa Rica,"2003",Sector Público,Línea Global de Crédito - Banco Crédito Agrícola de Cartago,"3074690.01"
Costa Rica,"2003",Sector Público,Línea Global de Crédito - Banco Popular y de Desarrollo Comunal,"843323.50"
Costa Rica,"2003",Sector Público,Préstamo - Proyecto Hidroeléctrico Pirrís,"16470939.17"
Costa Rica,"2003",Sector Público,Proyecto 400000 Soluciones Telefónicas Móviles con Tecnología Gsm en la Banda de 1800 Mhz,"80000000.00"
Costa Rica,"2003",Sector Público,Proyecto Centrales Telefónicas ALCatel  Ampliación y Modernización del Sistema Nacional de Telecomunicaciones 20002001,"19173124.45"
Costa Rica,"2003",Sector Público,Proyecto Construcción de la Planta Térmica Moín III,"17253278.88"
Costa Rica,"2003",Sector Público,Proyecto Construcción y Remodelación del Hospital Regional de Liberia Dr Enrique Baltodano Briceño,"3157333.91"
Costa Rica,"2003",Sector Público,Proyecto Desarrollo Agrícola de la Península de Nicoya,"254458.56"
Costa Rica,"2003",Sector Público,Proyecto Planta Hidroeléctrica Cote,"3225809.26"
Costa Rica,"2003",Sector Público,Proyecto Programa de Infraestructura de la Universidad Nacional,"4021554.96"
