"NUMERO_PRESTAMO","NOMBRE_OPERACION","IDENTIFICADOR_PROCESO","NOMBRE_ADQUISICION","CATEGORIA_PROCESO","NOMBRE_ORGANISMO_EJECUTOR","MONTO_PRESUPUESTADO_PROCESO_ADQUISICION","ESTADO_PROCESO"
"2230",Programa de Inversión en Infraestructura y Equipamiento Hospitalario,GTM-2025-2230-10465-O,"Diseño, Construcción, Equipamiento y Puesta en Marcha para el mejoramiento y/o ampliación del Hospital de Sololá:  Mejoramiento Hospital de Sololá, Sololá.",Obras,Ministerio de Salud Pública y Asistencia Social (MSPAS),55605087.46,Adjudicado
"2245",Programa Nacional de Construcción de Viviendas de Interés Social,NIC-IDLVUYRDN(-2245-3477-O,"Rehabilitación Edificio - (Remodelación, construcción y reparación de obras de infraestructura en edificio de INVUR, según planos y alcances)",Obras,Instituto Nicaragüense de Vivienda Urbana y Rural (INVUR),0.00,Fracasado
"2245",Programa Nacional de Construcción de Viviendas de Interés Social,NIC-IDLVUYRDN(-2245-3591-O,"Construcción de viviendas de extrema pobreza fase III del municipio de Ocotal, (13 viviendas)",Obras,Instituto Nicaragüense de Vivienda Urbana y Rural (INVUR),104000.00,Adjudicado
"2245",Programa Nacional de Construcción de Viviendas de Interés Social,NIC-IDLVUYRDN(-2245-3703-O,Construcción de viviendas de extrema pobreza fase VIII en el municipio de Ciudad Darío (13 viviendas),Obras,Instituto Nicaragüense de Vivienda Urbana y Rural (INVUR),104000.00,Adjudicado
"2245",Programa Nacional de Construcción de Viviendas de Interés Social,NIC-IDLVUYRDN(-2245-3815-O,"Construcción de Viviendas de Interes Social, para familias en la condicion de Extrema Pobreza ¨HEROES Y MARTIRES DE PANCASAN¨, en el municipio de Matiguas. (31 viviendas)",Obras,Instituto Nicaragüense de Vivienda Urbana y Rural (INVUR),248000.00,Adjudicado
"2245",Programa Nacional de Construcción de Viviendas de Interés Social,NIC-IDLVUYRDN(-2245-8129-O,Construcción de viviendas de extrema pobreza Fase XIX en el municipio de San José de Cusmapa (14 Viviendas),Obras,Instituto Nicaragüense de Vivienda Urbana y Rural (INVUR),119000.00,Previsto
"2245",Programa Nacional de Construcción de Viviendas de Interés Social,NIC-IDLVUYRDN(-2245-3920-CI,Contratación de Analista de tesoreria - ((1) Analistas de tesoreria por vigencia del programa (4) años),Consultorías Individuales,Instituto Nicaragüense de Vivienda Urbana y Rural (INVUR),48000.00,Adjudicado
"2228",MEJORAMIENTO EN LOS AEROPUERTOS DE LA COSTA CARIBE SUR,NIC-2025-2228-17648-O,Mejoramiento de los Aeropuertos en la Costa Caribe Sur,Obras,Empresa Administradora de Aeropuertos Internacionales (EAAI ),0.00,Fracasado
"2273",Programa de Ampliación del Sistema de Transmisión Eléctrica de Nicaragua,NIC-2025-2273-17807-B,Suministro e instalación de Sistema de Climatización para CNDC,Bienes,Empresa Nacional de Transmisión Eléctrica (ENATREL),359182.00,En Curso
"2314",Fortalecimiento Tecnológico del Registro Nacional de las Personas y la Dirección Nacional de Migraciones,ARG-MDI-2314-8393-B,Actualización y ampliación de la seguridad informática,Bienes,Dirección General de Programas y Proyectos Sectoriales y Especiales (DiGePPSE),5095000.00,Adjudicado
"2187",Programa de Sostenibilidad del Sector Eléctrico de Nicaragua,NIC-ENDTE(-2187-7034-O,Construcción de redes e Instalación de medidores bi-cuerpo.,Obras,Empresa Nacional de Transmisión Eléctrica (ENATREL),9159277.00,Adjudicado
"2120",Programa de Puentes Fronterizos y Ampliación Carretera al Puerto La Libertad Tramos II y III,SLV-MDOP-2120-4944-CI,"Servicios de Consultoría Individual ""Técnico Administrativo  BCIE 2120""; contrato por $2,300.00  mensuales, incluye IVA, por un plazo de 12 meses",Consultorías Individuales,Ministerio de Obras Públicas y de Transporte (MOPT),27600.00,Adjudicado
"2141",Programa para la sostenibilidad del sector de agua y saneamiento rural,NIC-2025-2141-14388-O,"Construcción de 18 proyectos guiados por la comunidad (PGC)   localizados en los departamentos de Carazo, Chinandega, Chontales, Madriz, Managua, Masaya, Nueva Segovia y Rivas.",Obras,Empresa Nicaragüense de Acueductos y Alcantarillados Sanitarios (ENACAL),1262195.16,Adjudicado
"2141",Programa para la sostenibilidad del sector de agua y saneamiento rural,NIC-2025-2141-14442-B,Equipo informático: Computadoras Portátiles (Nueva Línea),Bienes,Empresa Nicaragüense de Acueductos y Alcantarillados Sanitarios (ENACAL),4379.47,Adjudicado
"2317",Programa de Emergencia para la Reconstrucción Integral y Resiliente de Infraestructura (PROERI) de la República de Costa Rica,CRI-2025-2317-18645-O,Construcción del centro educativo Victoriano Mena,Obras,Ministerio de Educación Pública (MEP),2791248.70,En Curso
"2280",Programa Fortalecimiento Acciones de Protección Contra la Violencia por Motivos de Género,ARG-2025-2280-12606-O,"Contratacion de los servicios para la Refuncionalización del edificio de Cochabamba (incluye climatización, instalación de red, red de telefonia y mobiliario)",Obras,Ministerio de Justicia de Argentina,0.00,Fracasado
"2101",Proyecto de Desarrollo Agricola bajo Riego,HND-2025-2101-12276-CF,Servicios de Auditoría Externa del Programa de Desarrollo Agrícola Bajo Riego (PDABR) correspondiente al periodo 2024 y Cierre 2025 ,Consultorías Firmas,Secretaría de Agricultura y Ganadería (SAG),120000.00,Previsto
"2101",Proyecto de Desarrollo Agricola bajo Riego,HND-S-2101-7890-CI,Contador General UAP(Eddy Trudis Baca ),Consultorías Individuales,Secretaría de Agricultura y Ganadería (SAG),77155.91,Adjudicado
"2317",Programa de Emergencia para la Reconstrucción Integral y Resiliente de Infraestructura (PROERI) de la República de Costa Rica,CRI-2025-2317-12511-O,Proyecto Barras III / Cconstrucción de 105 viviendas de familias que se ubican en riesgo inminente,Obras,Ministerio de Vivienda y Asentamientos Humanos (MIVAH),2246727.35,Previsto
"2295",Ampliación y Rehabilitación de la Autopista Philip Goldson,BLZ-2025-2295-12582-CF,Project audit services,Consultorías Firmas,Ministry of Infrastructure Development & Housing (MIDH),375056.76,Previsto
