"CODIGO_SOLICITUD","FECHA_RECEPCION","FECHA_RESPUESTA","PAIS_SOLICITUD","SECTOR_SOLICITUD","CATEGORIA_SOLICITUD","ESTADO_SOLICITUD","RESUMEN_SOLICITUD","RESUMEN_RESPUESTA","RESERVA","ES_REVISION","FECHA_RECEPCION_REVISION","FECHA_RESPUESTA_REVISION","RESUMEN_SOLICITUD_REVISION","RESUMEN_RESPUESTA_REVISION","ESTADO_REVISION"
F-4-2021,2021-03-12 09:22:09.000,,Alemania,Academia,Compleja,Desestimado,,,,0,,,,,
F-163-2023,2023-11-16 14:03:16.000,2023-11-27 15:52:32.000,United States,Academia,Compleja,Denegado,,,Información recibida previo a establecer una relación contractual o recibida bajo el amparo de un contrato suscrito bajo un acuerdo de confidencialidad,0,,,,,
F-60-2024,2024-04-25 16:28:46.000,2024-06-12 15:02:02.000,El Salvador,Academia,Compleja,Denegado,"1. Carta de directores del Banco Centroamericano de Integración Económica sobre la gestión del Banco  remitida a los Gobernadores del BCIE en diciembre del 2021  y firmada por: Maximiliano Ricardo Alonso  director por Argentina  así como por Jorge Mariné Brandi (España); Julio Luis Jacome Arana (Colombia); Hugo Martínez Rebulla (Guatemala); Ricardo Trejos Lalli (Costa Rica); Catherine Chang Carías (Honduras); Luis Rodríguez Villacorta (El Salvador); Jorge Saggiante (México) y Carlos Arosemena Argüelles  (Panamá). 
2. Solicitud de préstamo remitida por El Salvador  la cual ampara los fondos otorgados de 150 millones para la línea de crédito del Fondo de Conservación Vial (FOVIAL). https://www.bcie.org/novedades/noticias/articulo/bcie-aprueba-un-incremento-de-us150-millones-para-la-linea-de-credito-del-fondo-de-conservacion-vial-fovial","Estimada solicitante: 
En cuanto a su primera pregunta  cumplo en indicarle que las comunicaciones entre las distintas dependencias del Banco es información reservada de conformidad con el artículo 25  literales a y n  de la Política de Acceso a la Información relacionada con:
“Información deliberativa de Asamblea de Gobernadores  Directorio  comités de gobernadores  comités de directores y comités de la Administración  incluyendo las manifestaciones individuales de cada uno de sus miembros”. 
“Comunicaciones de cualquier naturaleza  dentro y entre dependencias”. 
Respecto a su segunda pregunta  la información relativa a la operación de referencia es información reservada de conformidad con el artículo 25  literal p  de la Política de Acceso a la Información  relativa a operaciones sin garantía soberana y del sector privado  salvo que se cuente con autorización expresa de la contraparte. En este sentido  es de hace notar que el 3 de mayo de 2024  se solicitó la no objeción del cliente para atender esta solicitud  no obstante  a la fecha no hemos recibido respuesta.
De acuerdo con la Política  todos los solicitantes que reciban una respuesta negativa a su solicitud de información podrán presentar una solicitud de revisión  dentro de un plazo de dos (2) meses contados a partir de la notificación de la decisión.
Cordialmente  
Unidad de Acceso a la Información 


Formulario de revisión




Fecha de cierre de solicitud: 06/12/2024",Comunicaciones de cualquier naturaleza  dentro y entre dependencias.,0,,,,,
F-38-2024,2024-03-04 13:27:10.000,2024-03-07 09:25:45.000,Honduras,Academia,Compleja,Denegación Parcial,"1. Se solicita información de los listados de operaciones aprobadas por el directorio del BCIE por pais desagregada por; sector publico y privado  nombre de la operacion fecha en que el país solicita la operación al BCIE fecha de aprobacion monto aprobado  objetivo de la operacion para los años 2013-2023.
2. Se solicita información de los listados de operaciones de prestamos suscritos entre el BCIE y los paises desagregada por; sector publico y privado nombre monto fecha de firma  fecha limite de desembolsos y fecha limite de ejecucion objetivo de la operacion para los años 2013-2023.
3. Se solicita información de los desembolsos de prestamos otorgados por el BCIE por pais desagregada por; sector publico y privado nombre monto aprobado  desembolso por año y disponible hasta al 31 de diciembre de 2023 objetivo de la operacion para los años 2013-2023.","A continuación  la respuesta a sus preguntas.
1. Se solicita información de los listados de operaciones aprobadas por el directorio del BCIE por país  desagregada por; sector público y privado  nombre de la operación  fecha en que el país solicita la operación al BCIE  fecha de aprobación  monto aprobado  objetivo de la operación  para los años 2013-2023. 
I. Sector Público
         La información sobre aprobaciones y desembolsos puede ser encontrada en el siguiente enlace: 
https://www.bcie.org/operaciones-y-proyectos/cifras-historicas 
En cuanto a los objetivos de la aprobación y otra información de similar naturaleza  cumplo en informarle que  a partir del 1 de abril de 2021  entró en vigor la Política de Acceso a la Información. Por consiguiente  desde esa fecha  el Banco publica los contratos de las operaciones  los dictámenes de crédito  los perfiles de las operaciones  entre otra información clave de las operaciones aprobadas con posterioridad al 1 de abril de 2021. Toda esta documentación puede ser encontrada en el siguiente enlace: 
https://www.bcie.org/operaciones-y-adquisiciones/informacion-de-operaciones/gerencia-del-sector-publico-soberano 
https://www.bcie.org/operaciones-y-adquisiciones/fichas-de-operaciones-activas/ficha-de-operaciones-del-sector-publico 
II. Sector Privado
En cuanto al sector privado  dada la naturaleza de este tipo de operaciones  teniendo en cuenta la información sensible de los clientes y el artículo 25 de la Política de Acceso a la Información  literal “p” (información relativa a operaciones sin garantía soberana y del sector privado  salvo que se cuente con autorización expresa de la contraparte)  este tipo de información se mantiene en reserva. No obstante  bajo lo autorización del cliente y en línea con la nueva Política  el Banco ha publicado cierta información de las operaciones del Sector Privado a partir del 1 de abril de 2021. En el siguiente enlace encontrará la información correspondiente: 
https://www.bcie.org/operaciones-y-adquisiciones/fichas-de-operaciones-activas/ficha-de-operaciones-del-sector-privado 
2. Se solicita información de los listados de operaciones de préstamos suscritos entre el BCIE y los países  desagregada por; sector público y privado  nombre  monto  fecha de firma  fecha límite de desembolsos y fecha límite de ejecución  objetivo de la operación  para los años 2013-2023. 
I. Sector Público
Respecto de los listados de operaciones de préstamos suscritos entre el BCIE y los países y otra información relacionada  cumplo en informarle que  a partir del 1 de abril de 2021  entró en vigor la Política de Acceso a la Información. Por consiguiente  desde esa fecha  el Banco publica los contratos de las operaciones y otra información relevante. Estos contratos e información puede ser encontrados en el siguiente enlace: 
https://www.bcie.org/operaciones-y-adquisiciones/informacion-de-operaciones/gerencia-del-sector-publico-soberano/documentos/contrato-de-prestamo-sector-publico-con-garantia-soberana-y-sus-correspondientes-modificaciones 
https://www.bcie.org/operaciones-y-adquisiciones/informacion-de-operaciones/gerencia-del-sector-publico-soberano 
https://www.bcie.org/operaciones-y-adquisiciones/fichas-de-operaciones-activas/ficha-de-operaciones-del-sector-publico 
Para los temas de desembolsos  entre otros  utilizar la plataforma señalada anteriormente: 
https://www.bcie.org/operaciones-y-adquisiciones/informacion-de-operaciones/gerencia-del-sector-publico-soberano 
II. Sector Privado
En cuanto al sector privado  dada la naturaleza de este tipo de operaciones  teniendo en cuenta la información sensible de los clientes y el artículo 25 de la Política de Acceso a la Información  literal “p” (información relativa a operaciones sin garantía soberana y del sector privado  salvo que se cuente con autorización expresa de la contraparte)  este tipo de información se mantiene en reserva. No obstante  bajo lo autorización del cliente y en línea con la nueva Política  el Banco ha publicado cierta información de las operaciones del Sector Privado a partir del 1 de abril de 2021. En el siguiente enlace encontrará la información correspondiente: 
https://www.bcie.org/operaciones-y-adquisiciones/fichas-de-operaciones-activas/ficha-de-operaciones-del-sector-privado 
3. Se solicita información de los desembolsos de préstamos otorgados por el BCIE por país  desagregada por; sector público y privado  nombre  monto aprobado  desembolso por año y disponible hasta al 31 de diciembre de 2023  objetivo de la operación  para los años 2013-2023.
Por favor  ver las respuestas a las preguntas 1 y 2. 


Fecha de cierre de solicitud: 03/07/2024",Información relativa a operaciones sin garantía soberana y del sector privado  salvo que se cuente con autorización expresa de la contraparte. ,0,,,,,
F-107-2024,2024-09-10 12:34:20.000,2024-09-10 08:29:09.000,Honduras,Academia,Compleja,,,,Documentos del marco regulatorio del BCIE clasificados en categorías “No Públicas”.,1,2024-09-10 12:34:22.000,2025-06-19 15:16:43.000,"Quisiera obtener los políticas  manuales  procesos   procedimientos o cualquier otra documentación asociada al marco regulatorio que esté relacionada con actividades asociadas a los siguientes temas:
1. Presupuesto 
2. Contabilidad
3. Gestión de activos fijos
4. Gestión de activos intangibles","Se adjunta la respuesta de su solicitud de revisión.


Fecha de cierre de solicitud: 2025-06-19T15:16:43.0000000Z",Denegación Parcial
F-30-2023,2023-03-17 15:35:40.000,2023-05-03 20:11:03.000,México,Academia,Compleja,Denegación Parcial,,,Presupuesto detallado de funcionamiento y de inversiones de las direcciones  dependencias adscritas al Directorio  gerencias  oficinas staff y dependencias de la Administración.,0,,,,,
F-126-2023,2023-09-05 11:59:12.000,2023-10-16 19:13:04.000,Costa Rica,Medios de comunicación,Compleja,Denegación Parcial,,,Información recibida previo a establecer una relación contractual o recibida bajo el amparo de un contrato suscrito bajo un acuerdo de confidencialidad.,0,,,,,
C-35-2025,2025-04-01 00:51:00.000,2025-05-29 17:55:13.000,Honduras,Academia,Compleja,Denegación Parcial,"Información relativa  con respecto a los trabajadores del Banco Centroamericano de Integración Económica  a lo siguiente: 
A. Sus derechos: 
- ¿Cuál es su periodo de prueba? 
- ¿De cuánta es su jornada mínima y máxima de trabajo? 
- ¿De cuánto es su salario (dependiendo de qué tipo de trabajador sea dentro del banco) y cómo se les calcula?
- ¿Cuál es su periodo de vacaciones? 
- ¿Cómo se les contrata? 
- ¿Tienen acceso a la seguridad social? 
- ¿Tienen derecho a la permanencia o no? 
- ¿Tienen periodos de descanso? 
- ¿Qué tipo de indemnizaciones les son aplicables a los trabajadores?
- ¿Estos pueden tener derecho a la cesantía o no y  en caso de que sea sí  cómo se justifica la cesantía? 
- ¿Cabe la figura del interinato dentro del BCIE  y en caso de ser así  cómo se regula esa figura? 
- ¿Cómo funcionan los periodos de prueba en caso de un ascenso a un puesto de mayor categoría? 
- ¿De cuánto es ese plazo? 
- Al no pasar ese periodo  ¿a esa persona se le mantiene el salario anterior o este cambia?
B. Obligaciones y prohibiciones
-  ¿Qué obligaciones tienen siendo trabajadores del BCIE? 
- ¿Qué prohibiciones tienen? 
- <span lang=""es-419"" style=""","Se adjunta un documento con las respuestas a las solicitudes de información. 


Fecha de cierre de solicitud: 05/29/2025",Información personal  financiera y salarial de funcionarios  empleados y demás personal  jubilados o exempleados  así como sus declaraciones de situación patrimonial. ,0,,,,,
F-73-2023,2023-05-01 08:37:13.000,2023-05-18 10:42:15.000,Alemania,Academia,Compleja,Denegado,,,Información deliberativa de Asamblea de Gobernadores  Directorio  comités de gobernadores y comités de la Administración.,0,,,,,
F-86-2024,2024-06-05 13:47:39.000,2024-06-19 12:01:03.000,El Salvador,Medios de comunicación,Compleja,Denegado,"Información relacionada a la propuesta de desarrollo de la red de transporte ferroviario denominado Tren del Pacifico. 

Los trazos del Tren del Pacifico y los estudios de factibilidad realizados para la construcción de dicho proyecto 

","La información solicitada es reservada de conformidad con el artículo 25  literal k  de la Política de Acceso a la Información  referida a “información de proyectos de préstamos futuros y sus documentos de análisis”.


Fecha de cierre de solicitud: 06/19/2024",Información de proyectos de préstamos futuros y sus documentos de análisis.,0,,,,,
